model,stdev
distilled,0.82953167
distilled,0.48954135
distilled,0.5040044
distilled,0.7975053
distilled,0.4152416
distilled,0.76479834
distilled,0.27166858
distilled,0.57822067
distilled,0.23996012
distilled,0.3853368
distilled,0.29208484
distilled,0.7782528
distilled,0.80844593
distilled,0.5013817
distilled,1.2286417
distilled,0.33264074
distilled,0.67932135
distilled,0.21459205
distilled,0.6421801
distilled,0.33971754
distilled,0.7183449
distilled,0.7355946
distilled,0.3394576
distilled,0.35065103
distilled,0.51439506
distilled,0.53164345
distilled,0.9131023
distilled,0.6777523
distilled,0.27522174
distilled,0.7530535
distilled,0.59629786
distilled,0.18159392
distilled,0.7139427
distilled,0.561028
distilled,0.52051103
distilled,0.53895223
distilled,0.55346024
distilled,0.50896245
distilled,0.5737543
distilled,0.40719932
distilled,0.7143558
distilled,0.655505
distilled,0.19340202
distilled,0.4790095
distilled,0.48249197
distilled,0.66574407
distilled,0.6935522
distilled,0.6219239
distilled,0.56015253
distilled,0.25554922
distilled,0.25930887
distilled,0.34200183
distilled,0.12367475
distilled,0.25506732
distilled,0.25473863
distilled,0.37415233
distilled,0.41621062
distilled,0.8332067
distilled,0.8417543
distilled,0.27979437
distilled,0.6871721
distilled,0.82681936
distilled,0.22684406
distilled,0.36186236
distilled,0.23960492
distilled,0.5551775
distilled,0.7053697
distilled,0.2620605
distilled,0.2695338
distilled,0.2717177
distilled,0.47266662
distilled,0.23692818
distilled,0.71147215
distilled,0.813755
distilled,0.59742475
distilled,0.5777639
distilled,0.74874693
distilled,0.2358724
distilled,0.4836348
distilled,0.6391415
distilled,0.7202734
distilled,0.45628262
distilled,1.0104775
distilled,0.427282
distilled,0.51377046
distilled,0.48169023
distilled,0.261911
distilled,0.17468062
distilled,0.28228483
distilled,0.16599637
distilled,0.15002355
distilled,0.3889514
distilled,0.6018316
distilled,0.4226422
distilled,1.0652878
distilled,0.5940097
distilled,0.321683
distilled,0.59478474
distilled,0.19789219
distilled,0.41768363
distilled,0.9339455
distilled,0.29825178
distilled,0.35838267
distilled,0.38845235
distilled,0.48160264
distilled,0.23008324
distilled,0.23760076
distilled,0.4981342
distilled,0.37097332
distilled,0.19002995
distilled,0.41929775
distilled,0.91360587
